run_id,schema_version,dataset,model,objective,prior_type,base_seed,n_total,n_selected,n_prior,n_posterior,n_bound,perc_train,perc_prior,stratified,split_hash,delta_train,delta_mc,delta_pac,joint_confidence,mc_samples,kl,kl_over_nbound,mc_err_01,mc_ce,emp_risk_01,emp_risk_ce,cert_risk_01,cert_risk_ce,test_stoch_01,test_postmean_01,test_ens_01,prior_net_test_01,label_noise,train_epochs,prior_epochs,lr,lr_prior,sigma_prior,kl_penalty,duration_sec,exit_code
cifar10_bbb_learnt_cnn_seed0,2.0,cifar10,cnn,bbb,learnt,0,50000,50000,25000,50000,25000,1.0,0.5,True,5afae399353ef835fe9be21ba0d7ff2e,0.025,0.005,0.005,0.99,2000,86066.03125,3.44264125,0.05686228,0.014226463678534496,0.07656957180180152,0.025410390884930193,0.982043452881621,0.9741039464681198,0.23670000000000002,0.2127,0.20120000000000005,0.26670000000000005,0.0,100,70,0.005,0.005,0.03,0.1,11805.0,0
cifar10_bbb_learnt_cnn_seed1,2.0,cifar10,cnn,bbb,learnt,1,50000,50000,25000,50000,25000,1.0,0.5,True,1cd87452b52a30410e3f38d2bd4b01c8,0.025,0.005,0.005,0.99,2000,85607.9375,3.4243175,0.05859074,0.014632123891851317,0.07854360129920507,0.02594076062451539,0.9819350670621081,0.9737160650177505,0.24309999999999998,0.21960000000000002,0.20179999999999998,0.27459999999999996,0.0,100,70,0.005,0.005,0.03,0.1,12161.7,0
cifar10_bbb_learnt_cnn_seed2,2.0,cifar10,cnn,bbb,learnt,2,50000,50000,25000,50000,25000,1.0,0.5,True,edcfcb83529c335321c316929ccea561,0.025,0.005,0.005,0.99,2000,86296.1328125,3.4518453125,0.05834526,0.014516129745773711,0.07826351870060962,0.02578929277753367,0.9824329085562648,0.9744200705217244,0.24860000000000004,0.2229,0.20520000000000005,0.2854,0.0,100,70,0.005,0.005,0.03,0.1,11886.3,0
cifar10_bbb_learnt_cnn_seed3,2.0,cifar10,cnn,bbb,learnt,3,50000,50000,25000,50000,25000,1.0,0.5,True,11691e331b31d683538890bb8919101d,0.025,0.005,0.005,0.99,2000,85930.3359375,3.4372134375,0.05800422,0.01452929020039161,0.07787425702624601,0.025806485406066837,0.9821024437254781,0.9740360345901401,0.244,0.21919999999999995,0.20520000000000005,0.27480000000000004,0.0,100,70,0.005,0.005,0.03,0.1,11881.7,0
cifar10_bbb_learnt_cnn_seed4,2.0,cifar10,cnn,bbb,learnt,4,50000,50000,25000,50000,25000,1.0,0.5,True,915016997381cd1351f104a0598ab5ea,0.025,0.005,0.005,0.99,2000,83143.953125,3.325758125,0.05566428,0.013901035154376596,0.07519867209597669,0.02498357570882298,0.979422530662852,0.9707099973678115,0.23329999999999995,0.20809999999999995,0.19540000000000002,0.26370000000000005,0.0,100,70,0.005,0.005,0.03,0.1,11858.6,0
cifar10_fclassic_learnt_cnn_seed0,2.0,cifar10,cnn,fclassic,learnt,0,50000,50000,25000,50000,25000,1.0,0.5,True,5afae399353ef835fe9be21ba0d7ff2e,0.025,0.005,0.005,0.99,2000,333.0418395996094,0.013321673583984376,0.28306562,0.09057838760766912,0.3187535517305992,0.11442254270209869,0.3988735904211104,0.174117443977525,0.2891,0.25770000000000004,0.23670000000000002,0.26670000000000005,0.0,100,70,0.005,0.005,0.03,0.1,11985.8,0
cifar10_fclassic_learnt_cnn_seed1,2.0,cifar10,cnn,fclassic,learnt,1,50000,50000,25000,50000,25000,1.0,0.5,True,1cd87452b52a30410e3f38d2bd4b01c8,0.025,0.005,0.005,0.99,2000,230.13565063476562,0.009205426025390625,0.2853489,0.08929146490939896,0.3211120356958547,0.11299854785661963,0.38796468014578783,0.1618478062012215,0.2914,0.2661,0.247,0.27459999999999996,0.0,100,70,0.005,0.005,0.03,0.1,11744.8,0
cifar10_fclassic_learnt_cnn_seed2,2.0,cifar10,cnn,fclassic,learnt,2,50000,50000,25000,50000,25000,1.0,0.5,True,edcfcb83529c335321c316929ccea561,0.025,0.005,0.005,0.99,2000,301.9821472167969,0.012079285888671874,0.29179526,0.09078707537214592,0.3277648499786,0.11465333053387278,0.4044656829267542,0.17133782472337686,0.2982,0.27559999999999996,0.25439999999999996,0.2854,0.0,100,70,0.005,0.005,0.03,0.1,11729.4,0
cifar10_fclassic_learnt_cnn_seed3,2.0,cifar10,cnn,fclassic,learnt,3,50000,50000,25000,50000,25000,1.0,0.5,True,11691e331b31d683538890bb8919101d,0.025,0.005,0.005,0.99,2000,296.8313293457031,0.011873253173828126,0.28523108,0.08963294403238586,0.3209903618684357,0.11337653119576191,0.3967578492139753,0.16932427547161785,0.2934,0.2649,0.2481,0.27480000000000004,0.0,100,70,0.005,0.005,0.03,0.1,12058.0,0
cifar10_fclassic_learnt_cnn_seed4,2.0,cifar10,cnn,fclassic,learnt,4,50000,50000,25000,50000,25000,1.0,0.5,True,915016997381cd1351f104a0598ab5ea,0.025,0.005,0.005,0.99,2000,290.24267578125,0.01160970703125,0.27531922,0.087149034421049,0.31074376509787743,0.11062486471600537,0.38521502748940184,0.16543308318039712,0.28159999999999996,0.253,0.23629999999999995,0.26370000000000005,0.0,100,70,0.005,0.005,0.03,0.1,11804.7,0
