dataset,model,objective,prior_type,perc_train,label_noise,n_seeds,seeds,cert_risk_01_mean,cert_risk_01_std,cert_risk_ce_mean,cert_risk_ce_std,emp_risk_01_mean,emp_risk_01_std,kl_mean,kl_std,kl_over_nbound_mean,kl_over_nbound_std,mc_err_01_mean,mc_err_01_std,test_stoch_01_mean,test_stoch_01_std,test_postmean_01_mean,test_postmean_01_std,test_ens_01_mean,test_ens_01_std,n_bound_mean,n_bound_std
cifar10,cnn,bbb,learnt,1.0,0.0,5,0|1|2|3|4,0.981587,0.001224,0.973397,0.001523,0.07729,0.001392,85408.878125,1290.397153,3.416355,0.051616,0.057493,0.001218,0.24114,0.0061,0.2165,0.005976,0.20176,0.004013,25000.0,0.0
cifar10,cnn,fclassic,learnt,1.0,0.0,5,0|1|2|3|4,0.394655,0.007943,0.168412,0.004845,0.319873,0.006117,290.446729,37.502134,0.011618,0.0015,0.284152,0.005921,0.29074,0.006111,0.26346,0.008646,0.2445,0.007831,25000.0,0.0
cifar10,cnn,fquad,learnt,1.0,0.0,5,0|1|2|3|4,0.429781,0.00831,0.193177,0.005312,0.302815,0.00586,843.407056,73.820326,0.033736,0.002953,0.267666,0.005651,0.28008,0.006678,0.25386,0.00874,0.23588,0.007841,25000.0,0.0
cifar10,cnn,fquad,rand,1.0,0.0,5,0|1|2|3|4,0.928634,0.000561,0.24666,0.000214,0.92023,0.000625,14.330077,0.521108,0.000287,1e-05,0.898445,0.000699,0.89828,0.004712,0.9,0.0,0.8975,0.00417,50000.0,0.0
fashion-mnist,cnn,fquad,learnt,1.0,0.0,5,0|1|2|3|4,0.166758,0.005282,0.082225,0.00345,0.107138,0.001559,418.630505,47.094241,0.013954,0.00157,0.084009,0.001403,0.09272,0.002712,0.0861,0.000851,0.0832,0.001344,30000.0,0.0
fashion-mnist,fcn,bbb,learnt,1.0,0.0,5,0|1|2|3|4,0.661309,0.005727,0.572577,0.006469,0.091706,0.001067,21437.143359,420.082276,0.714571,0.014003,0.070209,0.000948,0.1118,0.00088,0.10214,0.001802,0.09876,0.001674,30000.0,0.0
fashion-mnist,fcn,fclassic,learnt,1.0,0.0,5,0|1|2|3|4,0.156719,0.000794,0.064308,0.000677,0.138094,0.000814,29.59934,1.967186,0.000987,6.6e-05,0.112137,0.000747,0.11944,0.003629,0.11084,0.002083,0.10796,0.00091,30000.0,0.0
fashion-mnist,fcn,fquad,learnt,1.0,0.0,5,0|1|2|3|4,0.174698,0.000787,0.073879,0.000671,0.134231,0.000804,171.204126,11.216822,0.005707,0.000374,0.108599,0.000736,0.11812,0.003824,0.10934,0.00173,0.10566,0.001014,30000.0,0.0
fashion-mnist,fcn,fquad,rand,1.0,0.0,5,0|1|2|3|4,0.447869,0.001067,0.224922,0.000618,0.246101,0.001782,5236.582324,65.344672,0.087276,0.001089,0.213288,0.001697,0.22204,0.003301,0.18918,0.005842,0.1821,0.000962,60000.0,0.0
mnist,cnn,fquad,learnt,1.0,0.0,5,0|1|2|3|4,0.037151,0.001153,0.024004,0.000754,0.020633,0.000489,124.619804,7.372206,0.004154,0.000246,0.010643,0.00036,0.01114,0.00065,0.00942,0.000779,0.00956,0.00082,30000.0,0.0
