run_id,schema_version,dataset,model,objective,prior_type,base_seed,n_total,n_selected,n_prior,n_posterior,n_bound,perc_train,perc_prior,stratified,split_hash,delta_train,delta_mc,delta_pac,joint_confidence,mc_samples,kl,kl_over_nbound,mc_err_01,mc_ce,emp_risk_01,emp_risk_ce,cert_risk_01,cert_risk_ce,test_stoch_01,test_postmean_01,test_ens_01,prior_net_test_01,label_noise,train_epochs,prior_epochs,lr,lr_prior,sigma_prior,kl_penalty,duration_sec,exit_code,prior_net_s0_01,test_stoch_01_asrun,test_ens_01_asrun,seed_eval_applied,cert_risk_01_nounion,cert_risk_ce_nounion,n_prior_candidates
cifar10_bbb_learnt_cnn_seed0,2.0,cifar10,cnn,bbb,learnt,0,50000,50000,25000,50000,25000,1.0,0.5,False,958945b25853cd22ede274567802257d,0.025,0.005,0.005,0.99,2000,82942.484375,3.317699375,0.0577344,0.014400388973158304,0.07756616191533333,0.025638008469830945,0.9795842160225448,0.97061652075717,0.2445,0.2181,0.2055,0.2752,0.0,100,70,0.005,0.005,0.03,0.1,4068.0,0,0.00124,0.24550000000000005,0.20379999999999998,True,0.9795780898121622,0.9706081815519121,999
cifar10_bbb_learnt_cnn_seed1,2.0,cifar10,cnn,bbb,learnt,1,50000,50000,25000,50000,25000,1.0,0.5,False,69f72b3772a18c4c8629962be294b39a,0.025,0.005,0.005,0.99,2000,85167.6015625,3.4067040625,0.05941606,0.014942133855350447,0.07948460639319482,0.026344866307714435,0.9817122494525743,0.9733237298969107,0.24,0.2163,0.203,0.27969999999999995,0.0,100,70,0.005,0.005,0.03,0.1,4059.4,0,0.00048,0.24309999999999998,0.20409999999999995,True,0.9817067511607898,0.9733161539334914,999
cifar10_bbb_learnt_cnn_seed2,2.0,cifar10,cnn,bbb,learnt,2,50000,50000,25000,50000,25000,1.0,0.5,False,27dabb5a38a548353b80d55355639d19,0.025,0.005,0.005,0.99,2000,84250.6953125,3.3700278125,0.0560197,0.013986414251295607,0.07560562269507248,0.025095672698174868,0.9804472116059046,0.97204224243091,0.2382,0.2181,0.2029,0.264,0.0,100,70,0.005,0.005,0.03,0.1,4033.1,0,0.00072,0.23860000000000003,0.19930000000000003,True,0.9804413575144292,0.9720343127145011,999
cifar10_bbb_learnt_cnn_seed3,2.0,cifar10,cnn,bbb,learnt,3,50000,50000,25000,50000,25000,1.0,0.5,False,c98e02308d68add367a80cf93452ef72,0.025,0.005,0.005,0.99,2000,86219.3515625,3.4487740625,0.0584056,0.0145849166766298,0.0783323724596367,0.025879134074407728,0.9823880273084671,0.9743637255792946,0.2557,0.2214,0.2094,0.27949999999999997,0.0,100,70,0.005,0.005,0.03,0.1,4020.1,0,0.00088,0.25,0.20740000000000003,True,0.9823827392625486,0.9743564487624977,999
cifar10_bbb_learnt_cnn_seed4,2.0,cifar10,cnn,bbb,learnt,4,50000,50000,25000,50000,25000,1.0,0.5,False,2ffa16f18ba2a3e9fac095ebfb7ad981,0.025,0.005,0.005,0.99,2000,80220.9375,3.2088375,0.05345,0.013357575788085387,0.07265875678516726,0.024268018527246863,0.9762462970670924,0.9668130357646111,0.2274,0.2072,0.1947,0.26180000000000003,0.0,100,70,0.005,0.005,0.03,0.1,4027.2,0,0.00056,0.23060000000000003,0.19479999999999997,True,0.9762392058715952,0.9668036297956158,999
cifar10_fclassic_learnt_cnn_seed0,2.0,cifar10,cnn,fclassic,learnt,0,50000,50000,25000,50000,25000,1.0,0.5,False,958945b25853cd22ede274567802257d,0.025,0.005,0.005,0.99,2000,265.2996826171875,0.0106119873046875,0.28133462,0.08821069106334291,0.31696480549969686,0.1118015994113007,0.389386213649433,0.1649680210677363,0.2865,0.261,0.2391,0.2752,0.0,100,70,0.005,0.005,0.03,0.1,4032.7,0,0.00124,0.2925,0.24009999999999998,True,0.38847383728520535,0.16424859198632275,999
cifar10_fclassic_learnt_cnn_seed1,2.0,cifar10,cnn,fclassic,learnt,1,50000,50000,25000,50000,25000,1.0,0.5,False,69f72b3772a18c4c8629962be294b39a,0.025,0.005,0.005,0.99,2000,300.2704162597656,0.012010816650390626,0.28665032,0.08914191159210264,0.3224558312307585,0.112832976835565,0.3995836663869293,0.16971892844911926,0.294,0.2692,0.251,0.27969999999999995,0.0,100,70,0.005,0.005,0.03,0.1,4050.7,0,0.00048,0.3035,0.25149999999999995,True,0.39871976342615,0.1690315171662677,999
cifar10_fclassic_learnt_cnn_seed2,2.0,cifar10,cnn,fclassic,learnt,2,50000,50000,25000,50000,25000,1.0,0.5,False,27dabb5a38a548353b80d55355639d19,0.025,0.005,0.005,0.99,2000,310.35919189453125,0.01241436767578125,0.28124534,0.08803346348749312,0.3168725299058785,0.11160522775990883,0.39499775246010815,0.16926523258195186,0.2918,0.2558,0.2408,0.264,0.0,100,70,0.005,0.005,0.03,0.1,4044.7,0,0.00072,0.2924,0.23919999999999997,True,0.3941483776851497,0.16858859828746192,999
cifar10_fclassic_learnt_cnn_seed3,2.0,cifar10,cnn,fclassic,learnt,3,50000,50000,25000,50000,25000,1.0,0.5,False,c98e02308d68add367a80cf93452ef72,0.025,0.005,0.005,0.99,2000,280.1631164550781,0.011206524658203125,0.29078824,0.09053933414370705,0.32672614530898014,0.11437934953942713,0.401489752220365,0.1695087393984826,0.3014,0.2691,0.2528,0.27949999999999997,0.0,100,70,0.005,0.005,0.03,0.1,4049.3,0,0.00088,0.29969999999999997,0.2511,True,0.4005967922735295,0.16879988602695767,999
cifar10_fclassic_learnt_cnn_seed4,2.0,cifar10,cnn,fclassic,learnt,4,50000,50000,25000,50000,25000,1.0,0.5,False,2ffa16f18ba2a3e9fac095ebfb7ad981,0.025,0.005,0.005,0.99,2000,305.0940246582031,0.012203760986328124,0.26873634,0.08568500257275759,0.3039268639136187,0.10900055218726917,0.3807843569030397,0.16567706835129456,0.2771,0.2523,0.2355,0.26180000000000003,0.0,100,70,0.005,0.005,0.03,0.1,4043.0,0,0.00056,0.2751,0.23660000000000003,True,0.3799324439395079,0.16500033564709854,999
