dataset,model,objective,prior_type,perc_train,label_noise,n_seeds,seeds,cert_risk_01_mean,cert_risk_01_std,cert_risk_ce_mean,cert_risk_ce_std,cert_risk_01_nounion_mean,cert_risk_01_nounion_std,emp_risk_01_mean,emp_risk_01_std,kl_mean,kl_std,kl_over_nbound_mean,kl_over_nbound_std,mc_err_01_mean,mc_err_01_std,test_stoch_01_mean,test_stoch_01_std,test_postmean_01_mean,test_postmean_01_std,test_ens_01_mean,test_ens_01_std,n_bound_mean,n_bound_std
cifar10,cnn,bbb,learnt,1.0,0.0,5,0|1|2|3|4,0.980076,0.002402,0.971432,0.002939,0.98007,0.002402,0.07673,0.002678,83760.214063,2316.453599,3.350409,0.092658,0.057005,0.002341,0.24116,0.010271,0.21622,0.005368,0.2031,0.005387,25000.0,0.0
cifar10,cnn,fclassic,learnt,1.0,0.0,5,0|1|2|3|4,0.393248,0.008387,0.167828,0.002306,0.392374,0.008382,0.317389,0.008581,292.237286,18.905359,0.011689,0.000756,0.281751,0.008299,0.29016,0.009052,0.26148,0.007656,0.24384,0.007629,25000.0,0.0
cifar10,cnn,fquad,learnt,1.0,0.0,5,0|1|2|3|4,0.427664,0.00736,0.192191,0.002166,0.427132,0.007354,0.300282,0.008424,843.200867,35.281818,0.033728,0.001411,0.265226,0.008118,0.28022,0.008551,0.25252,0.007733,0.23422,0.007176,25000.0,0.0
cifar10,cnn,fquad,rand,1.0,0.0,5,0|1|2|3|4,0.929697,0.00054,0.248426,0.000203,0.928677,0.000541,0.920275,0.000598,14.333692,0.529307,0.000287,1.1e-05,0.898495,0.000669,0.89778,0.002044,0.9,0.0,0.89838,0.003387,50000.0,0.0
cifar10,cnn13,fquad,learnt,1.0,0.0,5,0|1|2|3|4,0.388088,0.003823,0.18835,0.00339,0.387639,0.003829,0.241567,0.003257,1189.926709,65.243594,0.047597,0.00261,0.208973,0.003099,0.22016,0.005458,0.17912,0.002744,0.17128,0.002412,25000.0,0.0
cifar10,cnn15,fquad,learnt,1.0,0.0,3,1|2|3,0.472162,0.048686,0.213647,0.011159,0.47173,0.048675,0.313432,0.052403,1296.933594,138.672183,0.051877,0.005547,0.278092,0.050804,0.284667,0.04625,0.226533,0.045936,0.224833,0.043897,25000.0,0.0
fashion-mnist,cnn,fquad,learnt,1.0,0.0,5,0|1|2|3|4,0.167412,0.00477,0.083101,0.003582,0.166878,0.004791,0.106948,0.001449,423.334833,51.757978,0.014111,0.001725,0.083838,0.001303,0.0931,0.002398,0.08664,0.001119,0.08318,0.001593,30000.0,0.0
fashion-mnist,fcn,bbb,learnt,1.0,0.0,5,0|1|2|3|4,0.663185,0.00446,0.575123,0.004702,0.663095,0.004461,0.091325,0.000655,21606.376953,310.403921,0.720213,0.010347,0.069871,0.000582,0.11182,0.001566,0.1018,0.001672,0.0993,0.000886,30000.0,0.0
fashion-mnist,fcn,fclassic,learnt,1.0,0.0,5,0|1|2|3|4,0.158183,0.001748,0.064705,0.001082,0.156546,0.001774,0.13871,0.001328,26.19668,1.89006,0.000873,6.3e-05,0.112702,0.001218,0.12038,0.002754,0.11358,0.002374,0.1104,0.002961,30000.0,0.0
fashion-mnist,fcn,fquad,learnt,1.0,0.0,5,0|1|2|3|4,0.17465,0.002416,0.073689,0.001429,0.173808,0.002438,0.134875,0.001141,157.938345,11.852038,0.005265,0.000395,0.109188,0.001044,0.11862,0.003046,0.11086,0.003509,0.10782,0.002763,30000.0,0.0
fashion-mnist,fcn,fquad,rand,1.0,0.0,5,0|1|2|3|4,0.448034,0.001063,0.225062,0.000618,0.447893,0.001063,0.246115,0.001809,5236.971777,65.987052,0.087283,0.0011,0.213302,0.001723,0.22542,0.006216,0.18908,0.005572,0.18136,0.001238,60000.0,0.0
mnist,cnn,fquad,learnt,1.0,0.0,5,0|1|2|3|4,0.036934,0.001316,0.024046,0.000759,0.036443,0.001321,0.020114,0.000615,124.275319,9.077409,0.004143,0.000303,0.010262,0.00045,0.0108,0.001056,0.00952,0.000876,0.00954,0.000976,30000.0,0.0
mnist,fcn,bbb,learnt,1.0,0.0,5,0|1|2|3|4,0.265776,0.006488,0.246179,0.006091,0.265597,0.00649,0.013841,0.000334,7483.504102,229.106632,0.24945,0.007637,0.005838,0.000224,0.0187,0.000711,0.01488,0.00055,0.01484,0.000627,30000.0,0.0
mnist,fcn,fclassic,learnt,1.0,0.0,5,0|1|2|3|4,0.045487,0.000763,0.027426,0.000504,0.044179,0.000763,0.037289,0.000644,6.62812,0.48459,0.000221,1.6e-05,0.023588,0.000521,0.02404,0.000937,0.01922,0.000963,0.01942,0.000581,30000.0,0.0
