run_id,objective,prior,model,seed,train_epochs,mc_samples,rc,risk_ce,risk_01,stch_01,postmean_01,ens_01,duration_sec
mnist_fquad_rand_fcn_seed0,fquad,rand,fcn,0,100,10000,0,0.21157,0.32674,0.09140,0.05530,0.05760,1740.1
mnist_flamb_rand_fcn_seed0,flamb,rand,fcn,0,100,10000,0,0.24058,0.33981,0.07240,0.04370,0.04510,1781.6
mnist_fclassic_rand_fcn_seed0,fclassic,rand,fcn,0,100,10000,0,0.18115,0.33150,0.13570,0.08350,0.08150,1750.0
mnist_bbb_rand_fcn_seed0,bbb,rand,fcn,0,100,10000,0,0.58371,0.61112,0.02540,0.01550,0.01610,1743.4
mnist_fquad_learnt_fcn_seed0,fquad,learnt,fcn,0,100,10000,0,0.02127,0.03867,0.02240,0.01790,0.01740,2615.3
mnist_flamb_learnt_fcn_seed0,flamb,learnt,fcn,0,100,10000,0,0.02874,0.04865,0.02180,0.01740,0.01640,3250.5
mnist_fclassic_learnt_fcn_seed0,fclassic,learnt,fcn,0,100,10000,0,0.01749,0.03249,0.02270,0.01930,0.01930,2550.9
mnist_bbb_learnt_fcn_seed0,bbb,learnt,fcn,0,100,10000,0,0.13157,0.14961,0.01960,0.01600,0.01570,2567.6
mnist_fquad_learnt_cnn_seed0,fquad,learnt,cnn,0,50,2000,0,0.01860,0.03035,0.01060,0.00950,0.00970,4218.6
mnist_flamb_learnt_cnn_seed0,flamb,learnt,cnn,0,50,2000,0,0.02264,0.03567,0.01180,0.00890,0.00940,4460.5
mnist_fclassic_learnt_cnn_seed0,fclassic,learnt,cnn,0,50,2000,0,0.01583,0.02588,0.01130,0.01020,0.01020,4110.5
fashion-mnist_fquad_rand_fcn_seed0,fquad,rand,fcn,0,100,10000,0,0.20774,0.42872,0.22570,0.18740,0.18470,1752.5
fashion-mnist_flamb_rand_fcn_seed0,flamb,rand,fcn,0,100,10000,0,0.25117,0.44685,0.19170,0.16190,0.15890,1883.2
fashion-mnist_fclassic_rand_fcn_seed0,fclassic,rand,fcn,0,100,10000,0,0.18723,0.43043,0.26160,0.21270,0.20650,1773.8
fashion-mnist_bbb_rand_fcn_seed0,bbb,rand,fcn,0,100,10000,0,0.68972,0.78223,0.13480,0.11800,0.11920,1809.5
fashion-mnist_fquad_learnt_fcn_seed0,fquad,learnt,fcn,0,100,10000,0,0.05371,0.14548,0.11740,0.10920,0.11010,2553.1
fashion-mnist_flamb_learnt_fcn_seed0,flamb,learnt,fcn,0,100,10000,0,0.07502,0.17717,0.11510,0.10750,0.10670,3170.4
fashion-mnist_fclassic_learnt_fcn_seed0,fclassic,learnt,fcn,0,100,10000,0,0.04922,0.13491,0.11870,0.11220,0.11230,2515.7
fashion-mnist_bbb_learnt_fcn_seed0,bbb,learnt,fcn,0,100,10000,0,0.35445,0.45755,0.11120,0.10580,0.10220,2489.4
fashion-mnist_fquad_learnt_cnn_seed0,fquad,learnt,cnn,0,50,2000,0,0.06661,0.14696,0.09230,0.08500,0.08200,4173.1
fashion-mnist_flamb_learnt_cnn_seed0,flamb,learnt,cnn,0,50,2000,0,0.08570,0.17163,0.09240,0.08290,0.08090,4604.0
fashion-mnist_fclassic_learnt_cnn_seed0,fclassic,learnt,cnn,0,50,2000,0,0.06079,0.12235,0.09130,0.08460,0.08430,4366.0
cifar10_fquad_learnt_cnn_seed0,fquad,learnt,cnn,0,25,1000,0,0.14676,0.41041,0.30920,0.26390,0.25080,7414.1
cifar10_flamb_learnt_cnn_seed0,flamb,learnt,cnn,0,25,1000,0,0.22098,0.47669,0.27650,0.24320,0.22990,7248.2
cifar10_fclassic_learnt_cnn_seed0,fclassic,learnt,cnn,0,25,1000,0,0.13628,0.40346,0.32500,0.26850,0.25760,6960.2
cifar10_bbb_learnt_cnn_seed0,bbb,learnt,cnn,0,25,1000,0,0.80830,0.89868,0.23870,0.20000,0.19280,7345.8
mnist_fquad_learnt_fcn_seed1,fquad,learnt,fcn,1,100,10000,0,,0.03867,0.02240,0.01790,0.01740,2705.2
mnist_fquad_learnt_fcn_seed0_pt0.5,fquad,learnt,fcn,0,100,10000,0,,0.05186,0.02770,0.02190,0.02190,1389.7
mnist_fquad_learnt_fcn_seed0_pt0.2,fquad,learnt,fcn,0,100,10000,0,,0.06347,0.04780,0.03690,0.03810,737.0
mnist_fquad_learnt_fcn_seed0_pt0.1,fquad,learnt,fcn,0,100,10000,0,,0.07192,0.06440,0.05600,0.05590,496.3
